category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Car Electronics,L2,16%,40,0.00%,$1.04k,35.24%,77.15%,(3.38%),(88.97%),(7.65%),11%,57,-19.43%,$4.93k,44.98%,78.54%,(1.73%),(89.51%),(8.76%),14%,85,-31.77%,$16.74k,42.99%,74.32%,(1.34%),(88.66%),(9.69%),22%,142,-57.91%,$57.63k,65.08%,82.74%,(0.65%),(86.47%),(10.92%),22%,232,15.86%,$65.72k,53.84%,77.73%,(0.41%),(82.83%),(15.54%)
Shorts,L3,8%,127,0.00%,$194.63,25.90%,55.31%,(2.93%),(83.26%),(13.8%),9%,185,-23.81%,$1.26k,31.78%,55.42%,(8.27%),(74.43%),(17.31%),12%,244,-37.80%,$5.77k,34.03%,57.77%,(10.09%),(74.95%),(14.87%),22%,401,-52.23%,$20.51k,33.16%,56.84%,(8.15%),(67.34%),(24.12%),25%,589,25.05%,$25.13k,28.77%,54.05%,(10.79%),(55.9%),(33.09%)
Cupboards & Cabinets,L3,24%,25,0.00%,$1.78k,77.92%,93.57%,(17.83%),(73.47%),(8.69%),21%,43,5.50%,$7.39k,66.93%,92.76%,(6.61%),(78.55%),(14.85%),18%,54,-12.34%,$25.74k,66.60%,90.28%,(7.38%),(71.37%),(21.09%),20%,N/A,N/A,N/A,N/A,N/A,(7.38%),(71.37%),(21.09%),22%,221,-25.82%,$54.06k,53.29%,91.00%,(1.94%),(71.76%),(24.97%)
Beds,L3,19%,22,0.00%,$1.66k,63.18%,92.27%,(4.79%),(85.36%),(9.85%),18%,34,-18.04%,$7.86k,57.67%,88.57%,(4.93%),(76.43%),(18.64%),17%,51,-34.14%,$26.90k,61.28%,88.80%,(2.43%),(83.74%),(13.72%),17%,84,-21.70%,$52.78k,56.06%,89.21%,(0.95%),(71.83%),(25.29%),13%,N/A,N/A,N/A,N/A,N/A,(0.95%),(71.83%),(25.29%)
Men's Underwear,L2,7%,76,0.00%,$395.05,59.46%,78.97%,(2.6%),(85.8%),(11.6%),9%,96,-22.25%,$3.21k,58.72%,82.77%,(5.03%),(80.95%),(14.02%),9%,136,-9.79%,$10.01k,56.42%,80.96%,(5.05%),(83.68%),(11.26%),7%,203,38.44%,$17.73k,43.95%,74.08%,(5.31%),(74.26%),(20.15%),7%,339,73.13%,$16.75k,37.07%,65.33%,(4.79%),(69.25%),(25.78%)
Leisure & Outdoor Recreation Equipment,L2,4%,170,0.00%,$179.78,35.79%,61.98%,(11.79%),(58.04%),(30.17%),5%,276,-7.58%,$1.13k,39.85%,61.17%,(11.37%),(48.75%),(39.88%),4%,419,-24.53%,$3.22k,27.92%,49.65%,(18.55%),(50.96%),(30.49%),4%,717,-7.70%,$6.30k,14.69%,34.21%,(17.61%),(47.39%),(34.56%),4%,1069,70.31%,$6.71k,12.56%,29.72%,(15.52%),(43.3%),(40.8%)
Hair Trimmers & Clippers,L3,6%,45,0.00%,$603.97,62.01%,84.51%,(6.31%),(87.87%),(5.82%),6%,56,-4.50%,$4.42k,64.79%,85.86%,(4.57%),(89.95%),(5.48%),7%,80,-24.01%,$16.86k,66.25%,85.66%,(3.06%),(90.28%),(6.58%),9%,124,-31.58%,$41.20k,62.01%,85.88%,(1.22%),(87.01%),(11.23%),11%,213,-14.70%,$52.10k,58.73%,85.30%,(0.59%),(85.13%),(13.95%)
Luggage & Travel Bags,L2,12%,125,0.00%,$194.67,31.03%,59.44%,(6.98%),(73.77%),(19.24%),15%,186,-6.64%,$1.21k,28.32%,59.18%,(12.5%),(64.02%),(23.48%),17%,247,-38.32%,$5.46k,31.75%,64.16%,(17.4%),(62.87%),(19.55%),17%,419,-13.52%,$11.06k,32.04%,52.61%,(26.3%),(49.59%),(23.04%),17%,795,7.01%,$11.28k,22.74%,42.43%,(17.28%),(53.9%),(28.21%)
Commercial Appliances,L2,7%,4,0.00%,$8.98k,99.78%,100.00%,(1.42%),(98.58%),(0%),5%,4,-18.43%,$75.65k,99.74%,100.00%,(2.13%),(97.49%),(0.37%),7%,4,-9.11%,$336.42k,99.38%,100.00%,(1%),(97.91%),(0.92%),7%,4,-37.84%,$1.14m,99.71%,100.00%,(0.39%),(97.25%),(1.4%),4%,4,751.87%,$1.27m,99.74%,100.00%,(0.35%),(97.09%),(1.7%)
Pastries,L3,67%,11,0.00%,$2.31k,97.51%,99.94%,(2.37%),(90.68%),(6.95%),76%,13,-32.55%,$26.57k,99.05%,99.97%,(0.7%),(89.01%),(10.29%),71%,22,-27.46%,$60.74k,98.91%,99.92%,(0.62%),(88.4%),(10.98%),57%,41,8.70%,$80.32k,97.08%,99.66%,(0.76%),(82.21%),(16.56%),51%,68,-5.41%,$99.62k,96.82%,99.36%,(0.66%),(89.97%),(9.14%)
Men's Care,L2,1%,147,0.00%,$225.22,30.96%,54.68%,(12.36%),(66.69%),(20.95%),1%,215,-11.87%,$1.27k,33.76%,54.94%,(9.33%),(71.45%),(19.22%),1%,321,-24.11%,$4.15k,29.23%,49.08%,(11.42%),(62.64%),(25.82%),1%,542,2.49%,$7.37k,25.94%,44.68%,(9.42%),(56.51%),(33.41%),1%,949,-7.93%,$8.78k,21.34%,39.13%,(10.21%),(48.76%),(40.69%)
Stools & Benches,L3,18%,27,0.00%,$1.25k,72.09%,92.14%,(0.27%),(94.03%),(5.7%),19%,45,-8.84%,$6.31k,57.63%,86.08%,(0.91%),(88.94%),(10.15%),17%,77,-31.55%,$17.06k,53.93%,84.97%,(1.79%),(86.98%),(11.1%),21%,143,-43.90%,$39.09k,45.27%,76.55%,(1.17%),(77.74%),(18.3%),30%,274,-48.41%,$59.94k,44.10%,77.75%,(0.63%),(78.08%),(20.05%)
Eyewear,L2,6%,129,0.00%,$223.44,24.29%,49.33%,(5.57%),(64.01%),(30.42%),6%,172,-22.55%,$1.42k,18.22%,49.10%,(6.89%),(68.73%),(24.38%),7%,223,-25.93%,$5.83k,21.20%,46.52%,(8.1%),(67.17%),(24.66%),8%,356,-27.36%,$14.06k,23.20%,45.24%,(3.3%),(64.67%),(31.21%),8%,585,20.28%,$15.66k,21.47%,45.79%,(2.36%),(59.96%),(37.17%)
Facial Cleansers,L3,4%,25,0.00%,$883.06,76.25%,97.58%,(2.7%),(95.42%),(1.88%),5%,38,-44.82%,$6.00k,82.14%,97.57%,(1.44%),(93.91%),(4.65%),6%,64,-27.72%,$20.32k,85.42%,96.82%,(1.49%),(94.87%),(3.55%),6%,134,-8.35%,$32.39k,88.03%,95.77%,(0.97%),(89.77%),(8.77%),5%,249,191.01%,$23.42k,84.70%,93.23%,(2.12%),(85.87%),(11.53%)
School & Educational Supplies,L3,38%,168,0.00%,$253.39,68.53%,81.08%,(35.11%),(50.16%),(14.73%),33%,252,-11.76%,$1.07k,52.44%,73.04%,(13.49%),(65.8%),(20.71%),33%,391,-16.70%,$3.29k,53.08%,70.10%,(9.08%),(67%),(23.71%),34%,651,-5.44%,$6.06k,49.22%,66.90%,(7.57%),(55.13%),(37.07%),30%,1194,52.44%,$5.47k,42.25%,61.42%,(8.21%),(54.47%),(36.93%)
Facial Sunscreen & Sun Care,L3,4%,40,0.00%,$587.71,67.99%,86.80%,(10.13%),(82.47%),(7.4%),5%,59,-27.88%,$4.09k,63.97%,84.71%,(21.59%),(70.12%),(8.29%),6%,95,-21.56%,$13.43k,66.22%,82.44%,(13.37%),(74.33%),(12.26%),10%,199,-53.22%,$35.39k,59.80%,85.11%,(9.79%),(68.03%),(21.05%),10%,327,23.77%,$38.94k,62.84%,83.30%,(10.46%),(68.77%),(19.72%)
Power Banks,L3,15%,49,0.00%,$676.30,60.80%,90.42%,(16.06%),(80.65%),(3.29%),14%,70,-19.53%,$3.50k,66.40%,89.32%,(9.17%),(84.41%),(6.42%),16%,101,-23.94%,$12.56k,58.60%,84.82%,(8.35%),(81.79%),(9.74%),21%,154,-46.09%,$40.73k,68.12%,85.09%,(8.06%),(73.44%),(17.37%),20%,286,29.31%,$38.89k,62.21%,83.72%,(6.69%),(74.62%),(17.85%)
Security Cameras & Systems,L3,30%,38,0.00%,$958.34,68.18%,92.81%,(8.26%),(77.55%),(14.18%),33%,56,6.17%,$5.51k,64.48%,89.94%,(12.09%),(72.51%),(15.41%),32%,81,6.03%,$15.58k,69.95%,89.89%,(9.3%),(79.97%),(10.61%),23%,152,0.46%,$25.29k,64.56%,86.19%,(7.2%),(72.74%),(19.46%),18%,229,33.19%,$29.39k,62.17%,84.73%,(4.82%),(62.9%),(31.83%)
Mugs,L3,36%,77,0.00%,$320.60,59.46%,82.76%,(3.42%),(87.15%),(9.43%),33%,124,-23.09%,$2.37k,69.39%,86.37%,(2.65%),(91.14%),(6.21%),34%,189,-16.10%,$6.65k,65.48%,82.92%,(3.04%),(87.42%),(9.1%),27%,370,39.32%,$8.73k,53.83%,73.96%,(4.86%),(81.08%),(12.94%),30%,916,17.48%,$6.53k,44.02%,64.44%,(4.93%),(74.51%),(19.63%)
"Cables, Chargers & Adapters",L3,17%,110,0.00%,$332.92,27.88%,55.94%,(10.48%),(74.33%),(15.19%),15%,148,-2.94%,$1.70k,23.99%,54.98%,(5.94%),(77.91%),(16.15%),16%,215,-23.39%,$5.83k,23.20%,51.97%,(4.89%),(78.75%),(16.26%),17%,365,-22.02%,$14.24k,25.81%,54.24%,(2.27%),(76.31%),(20.1%),19%,592,-1.39%,$17.68k,36.11%,57.50%,(1.46%),(78.74%),(18.94%)
Hair Dye,L3,14%,25,0.00%,$1.28k,75.88%,98.11%,(5.05%),(94.11%),(0.84%),11%,39,-7.07%,$5.88k,76.57%,97.58%,(5.25%),(92.43%),(2.33%),13%,57,-31.70%,$21.93k,60.40%,92.95%,(4.52%),(92.29%),(3.12%),11%,128,33.75%,$29.18k,61.84%,89.07%,(2.57%),(88.58%),(8.39%),13%,205,6.50%,$35.32k,49.60%,87.74%,(1.74%),(86.71%),(11.1%)
Mousse & Gel,L3,11%,4,0.00%,$6.43k,98.05%,100.00%,(23.47%),(76.53%),(0%),9%,5,-2.51%,$34.14k,95.82%,100.00%,(17.81%),(82.05%),(0.14%),13%,5,-49.55%,$248.65k,91.54%,100.00%,(9.02%),(88.68%),(2.3%),12%,6,-26.91%,$689.19k,88.09%,100.00%,(7.58%),(66.24%),(25.86%),8%,6,1473.08%,$733.00k,88.54%,100.00%,(7.58%),(67.54%),(24.55%)
Sandals & Flip Flops,L3,33%,167,0.00%,$167.45,31.88%,59.18%,(7.51%),(72.22%),(20.27%),34%,242,-7.77%,$933.82,32.68%,57.53%,(3.79%),(73.72%),(22.5%),36%,297,-34.51%,$4.18k,30.03%,53.91%,(4.24%),(73.94%),(21.73%),43%,471,-22.94%,$10.58k,23.49%,47.32%,(4.29%),(62.1%),(33.09%),44%,699,15.85%,$13.28k,19.58%,44.82%,(4.05%),(59.81%),(35.7%)
Medical Supplies,L2,2%,45,0.00%,$448.74,44.75%,75.94%,(24.23%),(68.29%),(7.48%),3%,57,-22.00%,$4.06k,55.87%,82.86%,(11.86%),(82.78%),(5.36%),3%,79,-28.50%,$15.54k,65.32%,84.87%,(7.21%),(84.79%),(7.09%),3%,139,-20.28%,$32.15k,64.40%,82.46%,(4.42%),(85.12%),(8.9%),3%,222,65.89%,$32.27k,51.39%,77.03%,(4.66%),(79.86%),(14.28%)
Notebooks & Paper,L3,32%,181,0.00%,$196.83,33.72%,57.18%,(17.67%),(66.48%),(15.85%),35%,254,-2.14%,$1.11k,30.59%,53.12%,(19.71%),(61.23%),(19.06%),31%,369,-17.42%,$3.31k,25.28%,47.10%,(25.24%),(53.74%),(20.98%),29%,619,12.36%,$5.47k,20.49%,44.69%,(22.11%),(50.6%),(27.06%),33%,1158,-12.22%,$6.25k,19.05%,45.36%,(18.47%),(54.38%),(26.97%)
Water Coolers & Dispensers,L3,43%,3,0.00%,$14.79k,100.00%,100.00%,(1.33%),(97.95%),(0.72%),36%,3,327.21%,$154.71k,100.00%,100.00%,(1.67%),(97.92%),(0.41%),35%,3,-10.16%,$402.34k,100.00%,100.00%,(0.94%),(95.55%),(1.24%),41%,3,-42.09%,$1.54m,100.00%,100.00%,(0.27%),(96.03%),(1.03%),32%,3,872.78%,$1.70m,100.00%,100.00%,(0.24%),(96.4%),(0.93%)
Sofas,L3,7%,11,0.00%,$1.21k,91.44%,99.98%,(0.76%),(92.85%),(6.39%),10%,15,-39.54%,$9.69k,93.91%,99.71%,(1.23%),(94.06%),(4.71%),15%,32,-43.52%,$36.69k,91.60%,98.78%,(0.81%),(95.77%),(3.19%),12%,80,-7.75%,$38.50k,81.36%,91.21%,(1.61%),(89.31%),(6.77%),8%,145,176.64%,$28.92k,74.23%,86.09%,(1.42%),(83.44%),(13.35%)
Mirrors,L3,23%,35,0.00%,$420.85,75.20%,92.37%,(17.09%),(79.02%),(3.89%),31%,59,24.83%,$3.37k,77.35%,93.90%,(6.43%),(80.2%),(13.37%),44%,80,-41.85%,$14.45k,64.94%,94.77%,(5.96%),(85.26%),(8.74%),51%,141,-15.41%,$27.81k,55.31%,91.61%,(4.52%),(81.56%),(12.76%),49%,N/A,N/A,N/A,N/A,N/A,(4.52%),(81.56%),(12.76%)
Oral Irrigators,L3,3%,2,0.00%,$7.41k,100.00%,100.00%,(13.33%),(86.67%),(0%),3%,2,-36.21%,$70.09k,100.00%,100.00%,(5.88%),(94.01%),(0.11%),6%,2,-43.04%,$565.70k,100.00%,100.00%,(3%),(92.11%),(4.86%),5%,2,83.54%,$1.33m,100.00%,100.00%,(1.74%),(92.37%),(4.59%),3%,2,1391.19%,$1.42m,100.00%,100.00%,(1.74%),(92.71%),(4.33%)
Coffee,L3,22%,24,0.00%,$1.24k,75.09%,98.63%,(3.63%),(95.93%),(0.44%),24%,30,-23.72%,$8.41k,79.27%,98.87%,(1.86%),(95.08%),(3.06%),28%,45,-1.87%,$25.13k,77.06%,97.96%,(2.07%),(93.15%),(4.3%),38%,82,-47.68%,$66.46k,73.80%,98.19%,(1.31%),(92.46%),(3.26%),33%,153,107.35%,$52.79k,67.44%,96.81%,(1.32%),(91.79%),(4.87%)
Peelers & Cutters,L3,39%,54,0.00%,$378.33,83.45%,92.62%,(0.52%),(88.55%),(10.94%),36%,73,-8.52%,$2.40k,79.28%,93.42%,(0.53%),(91.7%),(7.77%),43%,106,-45.29%,$10.57k,85.85%,94.05%,(0.52%),(92.14%),(7.33%),34%,202,109.47%,$14.64k,81.42%,91.28%,(0.91%),(87.88%),(10.43%),30%,501,72.70%,$9.32k,65.13%,84.85%,(0.94%),(77.83%),(20.08%)
Tea,L3,35%,41,0.00%,$1.17k,71.90%,92.06%,(7.46%),(81.76%),(10.79%),34%,58,-2.96%,$6.09k,70.69%,92.35%,(7.85%),(73.91%),(18.25%),27%,70,30.55%,$15.89k,57.86%,88.23%,(10.99%),(73.53%),(15.41%),17%,144,66.43%,$16.54k,45.96%,76.97%,(12.72%),(60.92%),(25.62%),16%,235,48.87%,$16.94k,37.32%,69.82%,(18.6%),(57.19%),(23.48%)
Skirts,L3,8%,113,0.00%,$232.29,43.48%,68.41%,(7.67%),(76.48%),(15.86%),8%,162,-4.66%,$1.27k,45.94%,70.46%,(9.05%),(75.5%),(15.45%),9%,206,-9.08%,$5.38k,54.65%,72.38%,(7.41%),(76.59%),(15.9%),13%,323,-39.00%,$14.60k,61.42%,78.14%,(5.91%),(76.85%),(16.87%),12%,542,73.32%,$13.72k,59.58%,75.31%,(5.59%),(74.72%),(19.43%)
Diagnostic Tools,L3,45%,49,0.00%,$494.74,56.32%,82.99%,(4.02%),(81.35%),(14.63%),41%,62,-20.73%,$3.30k,56.04%,82.72%,(3.83%),(79.15%),(17.02%),43%,87,-31.81%,$12.66k,52.17%,83.30%,(2.62%),(77.86%),(19.52%),46%,129,18.41%,$25.41k,50.17%,79.16%,(1.68%),(73.71%),(24.1%),57%,227,-20.16%,$32.53k,49.99%,78.74%,(0.75%),(68.54%),(30.45%)
Cutlery & Tableware,L2,8%,116,0.00%,$178.46,46.42%,65.08%,(3.8%),(82.34%),(13.87%),8%,166,-5.27%,$1.12k,47.95%,66.58%,(3.79%),(79.48%),(16.73%),9%,209,-30.33%,$5.26k,53.40%,69.21%,(3.5%),(80.58%),(15.83%),7%,360,49.74%,$7.45k,40.88%,64.31%,(3.19%),(71.98%),(24.41%),8%,987,-12.38%,$5.82k,28.52%,52.15%,(4.25%),(67.35%),(28.05%)
Knitwear,L3,6%,71,0.00%,$596.13,51.34%,80.23%,(0.37%),(95.27%),(4.36%),6%,85,-0.58%,$3.51k,44.57%,79.38%,(0.45%),(95.39%),(4.16%),4%,99,18.40%,$11.07k,37.92%,77.54%,(0.93%),(91.43%),(7.55%),3%,130,118.32%,$16.82k,37.77%,74.36%,(1.64%),(84.39%),(13.64%),3%,299,60.57%,$11.87k,36.36%,66.35%,(3.02%),(77.2%),(19.27%)
Mattress Pads & Toppers,L3,17%,26,0.00%,$1.19k,72.44%,92.55%,(1.54%),(90.09%),(8.37%),13%,41,-0.14%,$5.11k,70.77%,91.14%,(10.86%),(82.44%),(6.7%),14%,53,-24.62%,$20.60k,64.70%,90.84%,(9.24%),(84.17%),(6.14%),12%,91,-10.97%,$37.93k,49.37%,87.49%,(4.35%),(76.39%),(16.99%),15%,186,3.36%,$36.51k,48.64%,87.77%,(2.4%),(79.11%),(16.83%)
Sports & Outdoor Accessories,L2,3%,170,0.00%,$148.22,38.16%,62.29%,(19.12%),(55.74%),(25.14%),3%,273,-29.78%,$737.20,40.02%,61.20%,(14.48%),(61.89%),(23.63%),3%,394,-35.98%,$2.77k,32.09%,52.27%,(16.32%),(60.26%),(23.25%),3%,676,12.76%,$5.23k,28.12%,50.12%,(16.97%),(52.78%),(29.45%),3%,990,52.15%,$5.92k,28.39%,50.37%,(11.73%),(56.74%),(30.98%)
Casual Trainers,L3,27%,66,0.00%,$342.89,53.97%,80.51%,(5.91%),(83.34%),(10.75%),29%,86,-29.28%,$2.30k,50.91%,80.07%,(6.98%),(85.2%),(7.82%),32%,103,-10.66%,$10.52k,50.57%,78.31%,(5.98%),(83.46%),(10.49%),31%,155,-15.22%,$22.90k,46.46%,74.94%,(3.94%),(76.36%),(18.95%),26%,N/A,N/A,N/A,N/A,N/A,(3.94%),(73.31%),(23.2%)
Hats,L3,59%,134,0.00%,$211.51,32.74%,54.84%,(36.2%),(36.11%),(27.68%),65%,198,-50.02%,$1.41k,36.68%,58.09%,(26.91%),(48.6%),(24.49%),57%,269,13.96%,$4.02k,26.72%,46.95%,(26.76%),(41.43%),(31.81%),66%,474,-48.08%,$10.55k,29.83%,45.92%,(18.84%),(33.35%),(47.59%),68%,932,-13.39%,$11.57k,27.61%,45.05%,(20.25%),(33.41%),(46.21%)
Electric Shavers,L3,5%,44,0.00%,$488.92,62.76%,89.18%,(0.59%),(91.8%),(7.61%),5%,63,-33.27%,$3.54k,62.02%,91.40%,(0.18%),(93.65%),(6.17%),5%,95,-23.53%,$11.36k,65.70%,90.87%,(0.33%),(92.53%),(7.06%),8%,143,-17.40%,$32.42k,59.85%,89.63%,(0.76%),(87.95%),(10.53%),7%,226,133.05%,$29.32k,44.95%,76.94%,(1.37%),(80.29%),(17.32%)
Casual Trainers,L3,41%,50,0.00%,$423.65,54.04%,74.81%,(7.13%),(80.41%),(12.47%),45%,75,-31.67%,$2.67k,56.94%,75.62%,(5.99%),(82.04%),(11.97%),48%,84,-23.60%,$12.81k,51.90%,75.79%,(6.45%),(79.43%),(13.94%),47%,119,5.56%,$27.82k,52.51%,75.58%,(4.19%),(71.73%),(23.68%),49%,172,30.07%,$34.04k,53.57%,75.60%,(2.66%),(69.27%),(27.8%)
Necklaces,L3,17%,149,0.00%,$160.90,32.83%,57.06%,(15.55%),(70.43%),(14.02%),20%,214,-24.06%,$1.00k,32.35%,59.42%,(12.98%),(69.9%),(17.12%),22%,278,-20.72%,$3.83k,35.29%,63.50%,(11.86%),(71.54%),(16.55%),24%,428,-0.43%,$7.38k,35.42%,60.90%,(7.4%),(66.72%),(25.77%),22%,716,64.13%,$7.10k,32.20%,57.74%,(6.33%),(66.14%),(27.41%)
Eyeshadow,L3,2%,59,0.00%,$295.08,53.25%,85.07%,(25.27%),(63.4%),(11.32%),3%,76,-50.76%,$2.57k,57.82%,86.76%,(26.22%),(60.41%),(13.37%),3%,96,-48.38%,$11.02k,58.64%,85.49%,(26.11%),(57.13%),(16.62%),3%,174,-24.07%,$21.83k,64.17%,85.28%,(25.94%),(47.9%),(24.73%),3%,329,23.26%,$20.91k,60.28%,83.49%,(28.49%),(46.9%),(23.64%)
Tyre Repair & Fitting Tools,L3,39%,29,0.00%,$697.00,65.59%,90.86%,(3.03%),(91.51%),(5.46%),35%,41,-9.83%,$4.14k,57.89%,89.97%,(3.14%),(88.01%),(8.86%),41%,69,-35.34%,$14.86k,69.44%,93.30%,(2.66%),(90.08%),(7.2%),33%,102,34.04%,$22.32k,66.35%,89.01%,(2.54%),(82.03%),(15.13%),30%,171,119.28%,$19.39k,61.26%,84.42%,(2.82%),(76.96%),(19.99%)
"Herbs, Spices & Seasonings",L3,79%,15,0.00%,$3.32k,98.57%,99.80%,(54.82%),(44.87%),(0.31%),61%,25,17.89%,$8.10k,96.05%,99.10%,(33.88%),(64.45%),(1.67%),63%,35,-36.94%,$30.11k,96.18%,98.98%,(20.32%),(77.94%),(1.58%),76%,68,-39.52%,$77.86k,97.51%,99.23%,(10.02%),(82.98%),(6.37%),64%,98,416.17%,$64.49k,96.23%,98.58%,(14.17%),(78.56%),(6.75%)
Makeup Base and Primers,L3,2%,61,0.00%,$253.08,39.33%,69.27%,(9.99%),(75.97%),(14.03%),2%,89,-37.71%,$1.76k,52.94%,74.08%,(12.15%),(76.85%),(10.99%),3%,126,-54.89%,$8.35k,57.03%,78.30%,(13.37%),(75.84%),(10.62%),3%,246,-32.41%,$15.04k,54.17%,73.83%,(15.12%),(70.58%),(13.77%),3%,445,17.74%,$15.37k,44.90%,67.51%,(13.68%),(67.91%),(18.02%)
Body Creams & Lotions,L3,5%,36,0.00%,$232.22,45.35%,78.83%,(30.69%),(43.53%),(25.78%),15%,60,-47.30%,$3.38k,76.66%,91.76%,(6.08%),(72.37%),(21.55%),16%,88,2.79%,$11.78k,78.55%,91.89%,(8.53%),(81.06%),(10.28%),18%,175,-36.53%,$22.84k,79.75%,91.82%,(5.66%),(83.2%),(10.4%),11%,N/A,N/A,N/A,N/A,83.60%,(8.48%),(74.02%),(16.95%)
Smart Watches,L3,72%,41,0.00%,$643.74,64.32%,88.10%,(1.9%),(88.58%),(9.52%),75%,59,-16.11%,$3.29k,65.83%,85.26%,(1.2%),(91.23%),(7.57%),76%,81,-3.03%,$12.62k,71.33%,87.22%,(0.6%),(81.72%),(17.54%),76%,152,-4.59%,$22.47k,66.55%,81.16%,(0.62%),(80.45%),(17.99%),79%,259,-33.35%,$32.97k,60.98%,78.42%,(0.39%),(82.1%),(15.69%)
Cleaning Equipment,L3,85%,2,0.00%,$15.30k,100.00%,100.00%,(0%),(100%),(0%),86%,2,-18.34%,$129.75k,100.00%,100.00%,(0%),(99.57%),(0.43%),76%,2,7.28%,$511.28k,100.00%,100.00%,(0%),(98.57%),(1.21%),47%,2,31.11%,$1.06m,100.00%,100.00%,(0%),(96.91%),(2.84%),43%,2,3942.71%,$1.08m,100.00%,100.00%,(0%),(96.82%),(2.93%)
Bracelets & Bangles,L3,25%,193,0.00%,$185.08,59.83%,70.65%,(6.2%),(75.76%),(18.04%),18%,260,-7.67%,$774.16,39.57%,54.47%,(10.19%),(63.03%),(26.79%),21%,352,-28.19%,$2.88k,45.64%,59.74%,(8.9%),(65.43%),(25.64%),23%,538,50.24%,$5.45k,43.08%,57.83%,(9.65%),(59.35%),(30.92%),19%,833,92.89%,$5.35k,34.59%,52.22%,(10.9%),(53.42%),(35.57%)
Skin Care Kits,L3,3%,5,0.00%,$3.60k,90.12%,100.00%,(11.3%),(88.7%),(0%),4%,5,-16.06%,$36.85k,93.63%,100.00%,(5.11%),(94.89%),(0%),5%,5,-18.39%,$202.65k,94.04%,100.00%,(3.43%),(95.79%),(0.16%),4%,5,0.93%,$556.72k,95.45%,100.00%,(5.76%),(91.29%),(1.57%),2%,5,1543.98%,$590.59k,95.71%,100.00%,(5.99%),(91.2%),(1.48%)
Lifestyle & Health,L2,29%,55,0.00%,$552.22,52.70%,79.76%,(29.57%),(50.33%),(20.1%),29%,76,-22.21%,$3.23k,62.14%,79.97%,(25.89%),(59.28%),(14.83%),32%,128,-11.96%,$7.88k,52.97%,75.40%,(26.67%),(56.68%),(16.62%),35%,219,-2.89%,$17.23k,61.53%,77.28%,(19.98%),(60.95%),(18.98%),43%,329,-33.47%,$28.72k,70.69%,81.98%,(14.91%),(70.13%),(14.91%)
Baby Care & Health,L2,28%,32,0.00%,$505.03,56.50%,88.12%,(3.14%),(94.5%),(2.36%),29%,48,-23.49%,$2.85k,54.65%,86.01%,(13.31%),(82.08%),(4.61%),41%,83,-50.86%,$12.06k,63.91%,88.75%,(5.95%),(87.21%),(6.8%),27%,146,120.77%,$12.03k,47.84%,82.75%,(5.96%),(75.99%),(17.51%),18%,176,323.76%,$12.33k,43.37%,81.28%,(5.39%),(73.68%),(20.45%)
Crossbody & Shoulder Bags,L3,25%,85,0.00%,$370.05,45.96%,74.03%,(29.66%),(54.71%),(15.63%),24%,111,2.98%,$1.73k,35.34%,67.16%,(16.05%),(66.44%),(17.51%),24%,137,-27.26%,$7.19k,33.80%,67.39%,(15.34%),(65.24%),(19.36%),24%,211,-7.87%,$15.69k,32.87%,63.68%,(16.06%),(57.52%),(26.06%),25%,346,-3.54%,$19.49k,26.98%,58.96%,(16.58%),(54.71%),(28.41%)
